No,Nesne,Cx,Cy,Alan,Perimeter,MajorAxis,MinorAxis,Orientation,AspectRatio,Circularity,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7
1,ZPIX Sprey,394,704,14429,532.464,243.26580760065,75.5296307006429,90,3.22079964305424,0.639536884162799,0.551243289114556,1.27043475497592,0,0,0,0,0
2,Kalemlik,495.275628106946,715.816606207175,14886,679.776,162.537412066462,123.066449502171,88.5142815571264,1.32072886415395,0.40481465265821,0.758211019707182,2.64971240937266,4.02799529460993,5.28156430079266,10.1195454070253,6.75592751708686,10.0584532521162
3,Gozluk Kutusu,624.192139737991,789.923314516988,9389,401.326,130.817379461474,98.995694642358,-14.2739621682866,1.32144513894345,0.732545508783213,0.746814848866181,2.62528283932338,3.13665199648014,4.21464180877185,-8.15269366150248,-5.65856799244977,-7.96732716845389
4,Altin Silindir,645.223244043945,674.620972719417,16202,555.806,193.633742520641,112.364884879092,-86.3354315871348,1.72325849600609,0.65907073877321,0.713701577747067,2.03608995394961,3.41384880686971,4.53373404604511,8.50871852636901,5.55281011351193,-9.63816279235398
5,Neutrogena,766.401473839352,763.947678703021,6785,322.353,107.431806468827,83.3742470681448,-89.05368653724,1.28854904537872,0.820533436839939,0.768728426755349,2.74765223759291,3.35065614865383,6.13585806361225,11.0990293675822,7.61755396843503,-10.9771049331317
6,Kirmizi Kutu,765.020906971497,649.107919079492,13297,524.645,174.008078206138,104.261060917156,-77.8659423689538,1.66896515991145,0.607061172267437,0.713540610377035,2.07976593418879,3.25803612682683,4.42777447006048,8.27607494218546,5.47593907665287,-9.07574537440189
7,Zimba,889.307842441448,802.979240596168,5636,328.217,99.010985045323,81.4894411663872,-33.4849297676556,1.21501612513405,0.657443907727908,0.739161746794123,2.91008072954932,2.9454433179281,3.82263670960961,7.83000911183588,5.8080438374739,-7.21934435794949
8,Siyah Kavanoz,938.254277739574,693.126855709721,24721,631.692,197.154511853568,166.172587144136,-69.6897602050542,1.18644425799641,0.778511701982257,0.774491324697141,3.09155966367457,3.63134533844949,7.84323729639568,13.9342410411329,9.61705286519894,-13.6218892171184
9,ZMA Sise,1073.84434152235,747.71103503826,4966,404.021,146.658045540352,51.6271661494789,-88.1780154447688,2.84071461748888,0.382303875662615,0.516827049700152,1.24994324889836,2.36833474299359,3.21686664968087,-6.41489167235599,-4.00759545513521,6.0459309082439
10,Matara,1144.13663182485,659.640420497769,33389,1033.346,368.198791706692,128.265797719513,-83.3168441793725,2.87059214734591,0.392935937534991,0.545823242497394,1.30349028751764,2.59270802581716,3.02725975085744,5.83726262351164,3.67999954820891,7.86643203826785
